SAMPLE,A-to-G proportion (%)
GSM4050668,56.8733153638814
GSM4050274,60.9090909090909
GSM4050310,59.0009425070688
GSM4050436,57.004160887656
GSM4050306,44.7033898305085
GSM4050410,67.7705977382876
GSM3735355,82.6446280991736
GSM3735366,71.3709677419355
GSM4050365,56.2390158172232
GSM4050495,65.1920838183935
GSM4050430,66.3524292965917
GSM3735442,71.2933753943218
GSM4050302,55.3755522827688
GSM3735368,69.2982456140351
GSM4050256,46.4285714285714
GSM4050320,57.7916992952232
GSM4050416,66.5835411471322
GSM3735443,73.1481481481482
GSM4050522,67.2459893048128
GSM4050303,51.0638297872341
GSM4050283,45.8479532163743
GSM4050428,67.7926158680283
GSM4050525,40.9230769230769
GSM4050328,61.3733905579399
GSM4050316,54.064039408867
GSM4050481,74.2990654205608
GSM4050426,82.0712694877506
GSM4050232,46.4028776978417
GSM3735338,79.3911007025761
GSM4050353,57.1059431524548
GSM4050446,52.2448979591837
GSM4050186,46.4285714285714
GSM4050226,28.8888888888889
GSM4050321,65.5945419103314
GSM4050480,71.0023866348449
GSM4050388,70.7239459029435
GSM4050423,59.0705987488829
GSM3735444,71.5827338129497
GSM3735441,66.5671641791045
GSM4050212,52.1568627450981
GSM4050445,55.2367288378766
GSM4050257,45.8715596330275
GSM4050329,36.0248447204969
GSM4050347,52.2238163558106
GSM3735352,78.1382228490832
GSM3735397,69.2307692307692
GSM3735428,60.8247422680412
GSM4050260,46.5875370919881
GSM4050437,60.1554907677357
GSM4050478,65.3014789533561
GSM4050351,42.9032258064516
GSM4050476,58.3138173302108
GSM4050552,48.1865284974093
GSM4050252,59.1422121896163
GSM4050218,40.2877697841727
GSM3735360,76.9230769230769
GSM3735407,70.2970297029703
GSM4050199,46.2337662337662
GSM4050443,63.2754342431762
GSM4050277,50.0453309156845
GSM3735377,70.3601108033241
GSM4050304,48.8954344624448
GSM4050293,60.7218683651805
GSM4050349,47.1698113207547
GSM4050496,69.3599160545645
GSM4050361,57.8444747612551
GSM4050401,76.3418079096045
GSM4050386,57.4237954768928
GSM3735408,71.7741935483871
GSM4050255,48.7364620938628
GSM4050327,54.5258620689655
GSM4050378,60.6001936108422
GSM4050500,58.4070796460177
GSM4050366,53.7878787878788
GSM4050508,63.9871382636656
GSM3735329,65.8536585365854
GSM4050364,52.851711026616
GSM4050492,57.7268195413759
GSM4050356,58.2969432314411
GSM4050308,52.9478458049887
GSM4050439,62.2537431048069
GSM4050330,35.7541899441341
GSM4050284,48.5931558935361
GSM4050259,47.4576271186441
GSM4050295,57.7540106951872
GSM4050298,56.3088512241055
GSM4050318,55.2201257861635
GSM4050322,45.2681388012618
GSM4050374,53.3734939759036
GSM4050404,57.4766355140187
GSM4050419,53.7825059101655
GSM4050421,61.8538324420677
GSM4050362,58.8235294117647
GSM3735440,64.5833333333334
GSM4050343,58.953722334004
GSM4050507,56.0897435897436
GSM4050402,55.7504873294347
GSM4050520,61.4489003880983
GSM3735364,64.6464646464647
GSM4050213,47.148288973384
GSM4050387,62.1198156682028
GSM4050488,62.2390891840607
GSM3735335,60.8108108108108
GSM4050216,45.7983193277311
GSM3735422,65.2173913043478
GSM4050415,61.2826603325416
GSM4050222,45.364238410596
GSM4050214,36.3636363636364
GSM4050513,62.3471882640587
GSM3735309,55.952380952381
GSM4050305,49.1666666666667
GSM3735316,68.824531516184
GSM4050228,45.3038674033149
GSM3735409,71.1111111111111
GSM3735333,87.2340425531915
GSM4050326,62.4365482233503
GSM4050344,61.3984674329502
GSM4050342,59.1803278688525
GSM4050497,65.8212560386474
GSM4050647,60.8247422680412
GSM4050280,46.9255663430421
GSM4050227,35.7651245551601
GSM4050258,44.8979591836735
GSM4050265,50.0645161290323
GSM3735439,62.1301775147929
GSM3735434,46.1538461538462
GSM4050471,66.3306451612903
GSM4050431,57.9113924050633
GSM3735406,76.5957446808511
GSM4050350,48.2484076433121
GSM4050325,56.4738292011019
GSM4050271,55.8670820353063
