gse,gsm,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line,srr.count,srr.mean.avgspotlen,srr.total.bytes,srr.total.bases,srr.total.avgreadcount
GSE133854,GSM3928628,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2472480889,6049966200,20166554
GSE133854,GSM3928629,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2499644138,6182253900,20607513
GSE133854,GSM3928631,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2425223170,6037890000,20126300
GSE133854,GSM3928632,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2487629545,6147246900,20490823
GSE133854,GSM3928633,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2491125016,6169658100,20565527
GSE133854,GSM3928634,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2335549407,5670109500,18900365
GSE133854,GSM3928635,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2219315245,5472484200,18241614
GSE133854,GSM3928636,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2448670261,6100419600,20334732
GSE133854,GSM3928637,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2453615750,6101157300,20337191
GSE133854,GSM3928638,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2112872661,5225641800,17418806
GSE133854,GSM3928639,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,1953108739,4920870600,16402902
GSE133854,GSM3928640,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2230831239,5520519000,18401730
GSE133854,GSM3928641,morula,FALSE,parthenogenetic,,24~35 with mean 28,,,1,300,2494914666,6137677800,20458926
GSE133854,GSM3928346,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,6309574797,8462547180,47014151
GSE133854,GSM3928347,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,4356196605,6176662200,34314790
GSE133854,GSM3928348,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,5116289520,6645022200,36916790
GSE133854,GSM3928349,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,6624497985,8430322680,46835126
GSE133854,GSM3928350,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,3593634612,4765880700,26477115
GSE133854,GSM3928351,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,5516431978,7429157280,41273096
GSE133854,GSM3928352,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,4833727240,6278841000,34882450
GSE133854,GSM3928353,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,3597662711,4592095740,25511643
GSE133854,GSM3928354,oocyte.MII,TRUE,,,24~35 with mean 28,,,1,180,4615939612,6216059520,34533664
GSE133854,GSM3928355,zygote,TRUE,,,24~35 with mean 28,,,1,180,6313626509,8456727780,46981821
GSE133854,GSM3928356,zygote,TRUE,,,24~35 with mean 28,,,1,180,6010985288,8516610540,47314503
GSE133854,GSM3928357,zygote,TRUE,,,24~35 with mean 28,,,1,180,5960227003,7801324560,43340692
GSE133854,GSM3928358,zygote,TRUE,,,24~35 with mean 28,,,1,180,6577821745,8561892060,47566067
GSE133854,GSM3928359,zygote,TRUE,,,24~35 with mean 28,,,1,180,6539437150,8535097980,47417211
GSE133854,GSM3928360,zygote,TRUE,,,24~35 with mean 28,,,1,300,2296064467,6013485600,20044952
GSE133854,GSM3928361,zygote,TRUE,,,24~35 with mean 28,,,1,300,2305093444,5948552400,19828508
GSE133854,GSM3928362,2-cell,TRUE,,,24~35 with mean 28,,,1,300,9305602362,23050287000,76834290
GSE133854,GSM3928363,2-cell,TRUE,,,24~35 with mean 28,,,1,300,11401768536,27540408600,91801362
GSE133854,GSM3928364,2-cell,TRUE,,,24~35 with mean 28,,,1,300,9489692183,23616912300,78723041
GSE133854,GSM3928365,2-cell,TRUE,,,24~35 with mean 28,,,1,300,6683348880,16519453800,55064846
GSE133854,GSM3928366,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2391167718,6057337500,20191125
GSE133854,GSM3928367,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2419698532,6111203100,20370677
GSE133854,GSM3928368,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2365112696,6030263400,20100878
GSE133854,GSM3928369,2-cell,TRUE,,,24~35 with mean 28,,,1,300,2355177360,6118972800,20396576
