gse,gsm,srr,srr.avgspotlen,srr.bytes,srr.bases,srr.avgreadcount,stage,is.normal,disease,treatment,maternal.age,developmental.day,cell.line
GSE133854,GSM3928525,SRR9645846,300,2480922031,6190144800,20633816,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928526,SRR9645847,300,2417398879,6024482100,20081607,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928527,SRR9645848,300,2447194832,6131820900,20439403,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928528,SRR9645849,300,2435169072,5791635000,19305450,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928529,SRR9645850,300,2422254255,6173316300,20577721,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928530,SRR9645851,300,2456543598,6087334200,20291114,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928531,SRR9645852,300,2397446618,6124262400,20414208,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928532,SRR9645853,300,2357742815,6130877700,20436259,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928533,SRR9645854,300,2417317790,6196495800,20654986,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928534,SRR9645855,300,2363721952,6027847800,20092826,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928535,SRR9645856,300,2362815216,6086703000,20289010,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928536,SRR9645857,300,2438630011,6204700800,20682336,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928537,SRR9645858,300,2190334756,5536139700,18453799,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928538,SRR9645859,300,2461174051,6190808400,20636028,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928539,SRR9645860,300,2365203299,6071204100,20237347,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928540,SRR9645861,300,2404361526,6158025000,20526750,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928541,SRR9645862,300,2323289878,6051968700,20173229,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928542,SRR9645863,300,2342664896,6153382800,20511276,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928543,SRR9645864,300,2406595752,6163080600,20543602,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928544,SRR9645865,300,2344142306,6027435900,20091453,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928545,SRR9645866,300,2386649275,6148588800,20495296,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928546,SRR9645867,300,2130917418,5383797900,17945993,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928547,SRR9645868,300,2342708378,6063852300,20212841,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928548,SRR9645869,300,2343568520,6077776800,20259256,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928549,SRR9645870,300,2388485442,6127263000,20424210,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928550,SRR9645871,300,2370897753,6149952900,20499843,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928551,SRR9645872,300,2392280046,6139087800,20463626,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928552,SRR9645873,300,2428919878,6172228500,20574095,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928553,SRR9645874,300,2377214005,6069306000,20231020,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928554,SRR9645875,300,2316164545,5692192800,18973976,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928555,SRR9645876,300,2434491258,6195549300,20651831,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928556,SRR9645877,300,2376473306,6116830800,20389436,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928557,SRR9645878,300,2358995657,6125445900,20418153,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928558,SRR9645879,300,1812505403,4646867100,15489557,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928559,SRR9645880,300,2334389626,6025645800,20085486,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928560,SRR9645881,300,2353451411,6126510000,20421700,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928561,SRR9645882,300,2410756829,6145203300,20484011,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928562,SRR9645883,300,2368684885,6063287700,20210959,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928563,SRR9645884,300,2582482984,6197870700,20659569,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928564,SRR9645885,300,2390325293,6102348300,20341161,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928565,SRR9645886,300,2439528714,6181672800,20605576,morula,FALSE,androgenetic,,24~35 with mean 28,,
GSE133854,GSM3928566,SRR9645887,180,5738204868,7326643140,40703573,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928567,SRR9645888,180,5526933665,7176393000,39868850,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928568,SRR9645889,300,2480767128,6113363100,20377877,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928569,SRR9645890,300,2356507863,5861049600,19536832,zygote,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928570,SRR9645891,300,10048402949,24006063900,80020213,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928571,SRR9645892,300,8516338235,19696730400,65655768,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928572,SRR9645893,300,11233969889,27075369900,90251233,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928573,SRR9645894,300,13589949504,33704141100,112347137,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928574,SRR9645895,300,2411250579,6023751300,20079171,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928575,SRR9645896,300,2521755405,6140221800,20467406,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
GSE133854,GSM3928576,SRR9645897,300,2366974070,5913832200,19712774,2-cell,FALSE,parthenogenetic,,24~35 with mean 28,,
