,dataset,name,count.5.prime.UTR,count.3.prime.UTR,count.CDS,count.intron
1425,200911-GSE125616-all-150-150,GSM3578560,2536,62544,1400,395060
1426,200911-GSE125616-all-150-150,GSM3578561,2354,54953,1132,306853
1427,200911-GSE125616-all-150-150,GSM3578562,2716,60604,1285,405780
1428,200911-GSE125616-all-150-150,GSM3578563,1794,36497,645,163925
1429,200911-GSE125616-all-150-150,GSM3578564,2687,49032,1024,249367
1430,200911-GSE125616-all-150-150,GSM3578565,2619,52125,1302,263089
1431,200911-GSE125616-all-150-150,GSM3578566,1983,46036,1178,180195
1432,200911-GSE125616-all-150-150,GSM3578567,2521,55611,1312,337422
1433,200911-GSE125616-all-150-150,GSM3578568,2981,63736,1799,284764
1434,200911-GSE125616-all-150-150,GSM3578569,3802,73738,1799,291075
1435,200911-GSE125616-all-150-150,GSM3578570,5807,94237,3017,622995
1436,200911-GSE125616-all-150-150,GSM3578571,4442,79976,1704,422155
1437,200911-GSE125616-all-150-150,GSM3578572,4650,75800,1619,647054
1438,200911-GSE125616-all-150-150,GSM3578573,1127,32722,594,215184
1439,200911-GSE125616-all-150-150,GSM3578574,2863,58899,1451,321262
1440,200911-GSE125616-all-150-150,GSM3578575,2830,59801,1238,283072
1441,200911-GSE125616-all-150-150,GSM3578576,5556,97252,2158,531857
1442,200911-GSE125616-all-150-150,GSM3578577,2452,55346,1112,270796
1443,200911-GSE125616-all-150-150,GSM3578578,4681,91155,1863,401107
1444,200911-GSE125616-all-150-150,GSM3578579,2377,55239,1103,280825
1445,200911-GSE125616-all-150-150,GSM3578580,2297,48324,1116,253810
1446,200911-GSE125616-all-150-150,GSM3578581,3376,60490,1685,397953
1447,200911-GSE125616-all-150-150,GSM3578582,2467,51383,1146,286854
1448,200911-GSE125616-all-150-150,GSM3578583,2543,56071,1232,323955
1449,200911-GSE125616-all-150-150,GSM3578584,4818,105784,2603,633200
1450,200911-GSE125616-all-150-150,GSM3578585,554,11594,206,98798
1451,200911-GSE125616-all-150-150,GSM3578586,2664,51258,1376,427776
1452,200911-GSE125616-all-150-150,GSM3578587,4631,81620,1809,900131
1453,200911-GSE125616-all-150-150,GSM3578588,2885,55298,1426,510459
1454,200911-GSE125616-all-150-150,GSM3578589,5148,69607,2101,866545
1455,200911-GSE125616-all-150-150,GSM3578590,4681,84635,2284,954488
1456,200911-GSE125616-all-150-150,GSM3578591,6195,108765,2664,986745
1457,200911-GSE125616-all-150-150,GSM3578592,3986,63783,1802,1101500
1458,200911-GSE125616-all-150-150,GSM3578593,3260,49259,1239,600736
1459,200911-GSE125616-all-150-150,GSM3578594,6262,118676,2778,1223700
1460,200911-GSE125616-all-150-150,GSM3578595,3669,68085,1547,880509
1461,200911-GSE125616-all-150-150,GSM3578596,5622,127897,3002,880714
1462,200911-GSE125616-all-150-150,GSM3578597,6589,103798,2786,1148179
1463,200911-GSE125616-all-150-150,GSM3578598,5255,87039,2276,1366433
1464,200911-GSE125616-all-150-150,GSM3578599,3925,82111,2003,754231
1465,200911-GSE125616-all-150-150,GSM3578600,4449,85056,1916,896442
1466,200911-GSE125616-all-150-150,GSM3578601,2810,60572,1616,416878
1467,200911-GSE125616-all-150-150,GSM3578602,5252,90470,1817,624258
1468,200911-GSE125616-all-150-150,GSM3578603,3866,71392,2085,580209
1469,200911-GSE125616-all-150-150,GSM3578604,5023,86419,2262,698423
1470,200911-GSE125616-all-150-150,GSM3578605,4182,74174,1345,803025
1471,200911-GSE125616-all-150-150,GSM3578606,4211,84484,2240,577817
1472,200911-GSE125616-all-150-150,GSM3578607,4076,88895,2091,781905
1473,200911-GSE125616-all-150-150,GSM3578608,4565,91198,2027,1131364
1474,200911-GSE125616-all-150-150,GSM3578609,5597,116244,2812,1135891
1475,200911-GSE125616-all-150-150,GSM3578610,3004,52462,1344,561626
1476,200911-GSE125616-all-150-150,GSM3578611,6398,110827,2769,1158615
1477,200911-GSE125616-all-150-150,GSM3578612,6017,90470,2434,652009
1478,200911-GSE125616-all-150-150,GSM3578613,6555,109856,2765,1163843
1479,200911-GSE125616-all-150-150,GSM3578614,4143,85480,2293,692994
1480,200911-GSE125616-all-150-150,GSM3578615,3719,73018,1849,842783
1481,200911-GSE125616-all-150-150,GSM3578616,3921,75630,2432,941664
1482,200911-GSE125616-all-150-150,GSM3578617,6097,117544,2848,1414186
1483,200911-GSE125616-all-150-150,GSM3578618,3448,71482,1608,580078
1484,200911-GSE125616-all-150-150,GSM3578619,7102,108152,3129,1465967
1485,200911-GSE125616-all-150-150,GSM3578620,5052,57975,2268,712127
1486,200911-GSE125616-all-150-150,GSM3578621,6211,108010,2945,1263406
1487,200911-GSE125616-all-150-150,GSM3578622,6024,108606,2882,1500907
1488,200911-GSE125616-all-150-150,GSM3578623,5051,108455,2586,976425
1489,200911-GSE125616-all-150-150,GSM3578624,2600,53894,1400,500292
1490,200911-GSE125616-all-150-150,GSM3578625,3308,63384,1379,549648
1491,200911-GSE125616-all-150-150,GSM3578626,3137,64002,1379,689382
1492,200911-GSE125616-all-150-150,GSM3578627,2084,44782,974,342798
1493,200911-GSE125616-all-150-150,GSM3578628,2745,71805,1157,465992
1494,200911-GSE125616-all-150-150,GSM3578629,1832,50513,1261,399938
1495,200911-GSE125616-all-150-150,GSM3578630,3117,77873,1772,786623
1496,200911-GSE125616-all-150-150,GSM3578631,3289,73992,1896,695481
1497,200911-GSE125616-all-150-150,GSM3578632,5130,52695,1520,996044
1498,200911-GSE125616-all-150-150,GSM3578633,4582,87760,2295,662597
1499,200911-GSE125616-all-150-150,GSM3578634,3856,72904,1384,589576
1500,200911-GSE125616-all-150-150,GSM3578635,2082,55777,1395,404386
1501,200911-GSE125616-all-150-150,GSM3578636,3419,61460,1523,675576
1502,200911-GSE125616-all-150-150,GSM3578637,4208,76554,1924,502371
1503,200911-GSE125616-all-150-150,GSM3578638,4479,81287,2055,853317
1504,200911-GSE125616-all-150-150,GSM3578639,4858,82860,2077,689208
1505,200911-GSE125616-all-150-150,GSM3578640,2332,46557,1152,355321
1506,200911-GSE125616-all-150-150,GSM3578641,3191,51764,1413,764159
1507,200911-GSE125616-all-150-150,GSM3578642,3569,73736,1671,606374
1508,200911-GSE125616-all-150-150,GSM3578643,5630,96731,2273,825278
1509,200911-GSE125616-all-150-150,GSM3578644,3390,77756,1600,487874
1510,200911-GSE125616-all-150-150,GSM3578645,4521,100135,2402,801562
1511,200911-GSE125616-all-150-150,GSM3578646,3241,66801,1533,393124
1512,200911-GSE125616-all-150-150,GSM3578647,2138,62237,1445,653128
1513,200911-GSE125616-all-150-150,GSM3578648,2745,61423,1276,310979
1514,200911-GSE125616-all-150-150,GSM3578649,4125,78576,1940,616079
1515,201217-GSE44183-earlyhumanlong21-90-90,GSM1160112,592,32419,733,41530
1516,201217-GSE44183-earlyhumanlong21-90-90,GSM1160113,1273,84435,1947,139720
1517,201217-GSE44183-earlyhumanlong21-90-90,GSM1160114,712,55444,1237,78093
1518,201217-GSE44183-earlyhumanlong21-90-90,GSM1160115,4290,138669,3131,288663
1519,201217-GSE44183-earlyhumanlong21-90-90,GSM1160116,4668,160794,3877,400492
1520,201217-GSE44183-earlyhumanlong21-90-90,GSM1160117,4420,152336,3822,343393
1521,201217-GSE44183-earlyhumanlong21-90-90,GSM1160118,2569,129307,2850,242025
1522,201217-GSE44183-earlyhumanlong21-90-90,GSM1160119,2029,107138,2225,190891
1523,201217-GSE44183-earlyhumanlong21-90-90,GSM1160120,2069,101531,2247,187420
1524,201217-GSE44183-earlyhumanlong21-90-90,GSM1160121,1143,62945,1368,89743
1525,201217-GSE44183-earlyhumanlong21-90-90,GSM1160122,936,63818,1003,94961
1526,201217-GSE44183-earlyhumanlong21-90-90,GSM1160123,2067,80634,1714,182998
1527,201217-GSE44183-earlyhumanlong21-90-90,GSM1160124,762,46214,891,81251
1528,201217-GSE44183-earlyhumanlong21-90-90,GSM1160125,145,11620,354,29348
1529,201217-GSE44183-earlyhumanlong21-90-90,GSM1160126,918,52127,949,90783
1530,201217-GSE44183-earlyhumanlong21-90-90,GSM1160127,3363,81365,2395,295304
1531,201217-GSE44183-earlyhumanlong21-90-90,GSM1160128,2891,82061,2499,276299
